asset_id,category,asset_name,length_sec,format,loop,source,prompt,usage,priority,epic
S001,music_hero,main_theme,120,m4a,seamless,compose,"COMPOSE. Catfish main theme, plays on title screen and credits. Build from a melancholy lo-fi beat into a chiptune-led hopeful B-section, return to lo-fi for a knowing wink. ~85 BPM. The melody should feel like a romantic comedy that knows something's wrong. 2-minute loop with a hard loop point — players will hear this on the title screen while deciding whether to start a new run. Don't make them sick of it.","Title screen, credits roll, main menu",P0,audio_hero
S002,music_hero,swipe_mode_loop,180,m4a,seamless,compose,"COMPOSE. The swipe deck background music. Loops indefinitely while the player browses profiles. Should feel like the dating app you'd actually open at 11pm — slightly bored, slightly hopeful, room to breathe. Lo-fi beat foundation with chiptune accents on transitions. ~78 BPM. Has to survive 5+ minutes of repeat play without fatigue. Three subtle variation passes built into the loop so it never feels like a 30-second cycle.",Swipe tab background music,P0,audio_hero
S003,music_hero,chat_mode_bed,180,m4a,seamless,compose,"COMPOSE. Background bed for active 1:1 chat threads. Quieter and less melodic than swipe_mode_loop — closer to ambient texture than song. Pads, distant chimes, soft vinyl crackle. ~70 BPM if BPM is even perceptible. Should fade into the background once the player starts reading messages. Subtle enough to not compete with text-to-speech if voice plays.",Active chat thread background,P0,audio_hero
S004,music_hero,date_mode_anticipation,60,m4a,seamless,compose,"COMPOSE. Plays in the 'preparing for date' preamble screen between accepting a date invite and entering the date scene. ~30-60 second loop. Builds gentle anticipation — warmer than the chat bed, more melodic. Major-key but with one persistent minor-second interval that suggests something isn't quite right. ~90 BPM.","Date preamble screen, before scene loads",P0,audio_hero
S005,music_hero,date_mode_loop_warm,240,m4a,seamless,compose,"COMPOSE. Date scene background bed when affinity is positive and the player is having a good time. Loops during ambient Eastworld dialogue. Warmer chiptune lead, lo-fi foundation, ~75 BPM. Should sit firmly under voice — duck dynamically when ElevenLabs lines play. The 'this is going well' track. Different enough from chat_mode_bed that switching scenes feels like a scene change, not the same song.","Date scenes, default emotional state",P0,audio_hero
S006,music_hero,date_mode_loop_tense,180,m4a,seamless,compose,"COMPOSE. The 'something's off' variant of the date bed. Cross-fades in when the player asks a tellEligible question or affinity drops sharply. Same instrumentation as date_mode_loop_warm but minor-key, slightly slower (~70 BPM), with the chiptune lead replaced by a sustained pad and one held synth note that wavers. Subtle, not horror.","Date scenes, tense moments and Focus Shifts",P0,audio_hero
S007,music_hero,journal_theme,120,m4a,seamless,compose,"COMPOSE. Background music for the clue journal screen. Detective/investigation feel without leaning into noir cliche. Lo-fi beat with a contemplative chiptune motif. ~80 BPM. Should make the player feel SMART for using the journal. Slightly different sonic palette than the rest — maybe introduces a new instrument (Rhodes-style electric piano, or marimba) to mark this as a 'thinking space.'",Journal/clue review screen,P0,audio_hero
S008,music_hero,accusation_theme,90,m4a,seamless,compose,"COMPOSE. The accusation modal screen background. High stakes. Pulse-driven, ~95 BPM, with a metronomic chiptune ostinato that suggests a clock running out. Cuts when the player selects their accusation. Should feel like the moment before pressing the trigger.","Accusation flow, before ending resolution",P0,audio_hero
S009,music_ending,ending_caught_them,90,m4a,oneshot,compose,"COMPOSE. Plays under the 'correct accusation' ending cutscene. Bittersweet resolution — major key, chiptune lead reasserting the main_theme melody but slower and more contemplative. Acknowledges the cost of being right. ~75 BPM. ~90 seconds. Hard end, no loop.",Caught Them ending cutscene,P0,audio_endings
S010,music_ending,ending_wrongful_accusation,90,m4a,oneshot,compose,"COMPOSE. The 'wrongful accusation' ending. Minor key, more sparse than caught_them. The melody should QUOTE main_theme but distorted, slowed, pitched down a half-step in places. ~65 BPM. Empty space in the mix. Feels like the music of someone realizing too late.",Wrongful Accusation ending cutscene,P0,audio_endings
S011,music_ending,ending_met_killer,60,m4a,oneshot,compose,"COMPOSE. The 'agreed to meet, didn't make it' ending. ~45-60 seconds. Dread-synth replaces chiptune entirely — this is the only track in the OST that breaks the lo-fi chiptune palette. A single sustained note swells, distorted vinyl warps, the mix fades to a single low rumble. Implied violence, never depicted. Echoes of main_theme as detuned distant memory.",Met Killer ending cutscene,P0,audio_endings
S012,music_ending,ending_killer_escaped,90,m4a,oneshot,compose,"COMPOSE. The 'killer escaped' ending. Ambiguous, not tragic. Mid-tempo lo-fi (~80 BPM), bittersweet major-7th chords, chiptune lead suggests they're already out there matching with someone else. Could almost be the start of a sequel. Resigned, not devastated.",Killer Escaped ending cutscene,P0,audio_endings
